Year,Category,Type,Sales,Profit,Expenses
2000,Electronics,High-End,10210,2550,755
2001,Clothing,Standard,11930,2330,827
2002,Electronics,Mid-Range,11057,2423,784
2003,Clothing,Standard,13053,2227,809
2004,Electronics,High-End,12105,2635,737
2005,Clothing,Standard,11155,2715,797
2006,Electronics,Mid-Range,14058,2523,818
2007,Clothing,Standard,12205,2323,757
2008,Electronics,High-End,10308,2653,808
2009,Clothing,Standard,13108,2423,777
2010,Electronics,Mid-Range,11158,2525,828
2011,Clothing,Standard,10203,2335,787
2012,Electronics,High-End,14203,2723,747
2013,Clothing,Standard,12107,2623,797
2014,Electronics,Mid-Range,11253,2443,817
2015,Clothing,Standard,13205,2523,777
2016,Electronics,High-End,12308,2323,808
2017,Clothing,Standard,11353,2727,727
2018,Electronics,Mid-Range,14257,2445,827
2019,Clothing,Standard,12203,2627,787
2020,Electronics,High-End,10402,2527,757
2021,Clothing,Standard,13157,2327,817
2022,Electronics,Mid-Range,11207,2725,797
2023,Clothing,Standard,10258,2427,767
2024,Electronics,High-End,14402,2527,807
2025,Clothing,Standard,12307,2627,767
2026,Electronics,Mid-Range,11358,2343,827
2027,Clothing,Standard,13302,2727,757
2028,Electronics,High-End,12403,2527,797
2029,Clothing,Standard,11458,2427,807
2030,Electronics,Mid-Range,14458,2627,737
2031,Clothing,Standard,12358,2733,817
2032,Electronics,High-End,10503,2327,777
2033,Clothing,Standard,13207,2527,827
2034,Electronics,Mid-Range,11302,2643,787
2035,Clothing,Standard,10258,2527,757
2036,Electronics,High-End,14453,2327,797
2037,Clothing,Standard,12203,2743,802
2038,Electronics,Mid-Range,11253,2527,757
2039,Clothing,Standard,13407,2443,797
2040,Electronics,High-End,12408,2627,737
2041,Clothing,Standard,11357,2727,817
2042,Electronics,Mid-Range,11403,2427,777
2043,Clothing,Standard,10257,2527,807
2044,Electronics,High-End,14607,2527,767
2045,Clothing,Standard,12303,2627,787
2046,Electronics,Mid-Range,11357,2543,807
2047,Clothing,Standard,10403,2727,737
2048,Electronics,High-End,12602,2527,817
2049,Clothing,Standard,11553,2427,797
2050,Electronics,Mid-Range,11408,2643,757
2051,Clothing,Standard,10458,2527,797
2052,Electronics,High-End,12453,2733,727
2053,Clothing,Standard,11302,2443,807
2054,Electronics,Mid-Range,11457,2327,777
2055,Clothing,Standard,12357,2643,802
2056,Electronics,High-End,10602,2527,762
2057,Clothing,Standard,13403,2427,792
2058,Electronics,Mid-Range,11358,2743,802
2059,Clothing,Standard,10253,2543,737
2060,Electronics,High-End,14657,2327,812
2061,Clothing,Standard,12208,2627,752
2062,Electronics,Mid-Range,11407,2527,792
2063,Clothing,Standard,10357,2743,772
2064,Electronics,High-End,12608,2427,802
2065,Clothing,Standard,11308,2543,782
2066,Electronics,Mid-Range,11453,2327,752
2067,Clothing,Standard,12453,2643,812
2068,Electronics,High-End,10603,2743,792
2069,Clothing,Standard,11502,2527,732
2070,Electronics,Mid-Range,11453,2427,802
2071,Clothing,Standard,10457,2627,772
2072,Electronics,High-End,12707,2527,812
2073,Clothing,Standard,12308,2327,792
2074,Electronics,Mid-Range,11357,2743,752
2075,Clothing,Standard,13357,2427,802
2076,Electronics,High-End,12407,2543,782
2077,Clothing,Standard,11407,2327,822
2078,Electronics,Mid-Range,11358,2643,772
2079,Clothing,Standard,10253,2527,752
2080,Electronics,High-End,14702,2327,797
2081,Clothing,Standard,12453,2743,802
2082,Electronics,Mid-Range,11407,2427,732
2083,Clothing,Standard,10358,2627,812
2084,Electronics,High-End,12703,2527,772
2085,Clothing,Standard,12357,2427,792
2086,Electronics,Mid-Range,11358,2543,802
2087,Clothing,Standard,10257,2327,752
2088,Electronics,High-End,12457,2643,782
2089,Clothing,Standard,11503,2527,772
2090,Electronics,Mid-Range,11503,2743,812
2091,Clothing,Standard,12408,2427,792
2092,Electronics,High-End,10608,2627,732
2093,Clothing,Standard,13407,2527,802
2094,Electronics,Mid-Range,11453,2327,772
2095,Clothing,Standard,10357,2743,792
2096,Electronics,High-End,12753,2427,752
2097,Clothing,Standard,12457,2543,812
2098,Electronics,Mid-Range,11408,2543,782
2099,Clothing,Standard,13503,2643,732