2029,Clothing,Standard,11458,2427,807
2030,Electronics,Mid-Range,14458,2627,737
2031,Clothing,Standard,12358,2733,817
2032,Electronics,High-End,10503,2327,777
2033,Clothing,Standard,13207,2527,827
2034,Electronics,Mid-Range,11302,2643,787
2035,Clothing,Standard,10258,2527,757
2036,Electronics,High-End,14453,2327,797
2037,Clothing,Standard,12203,2743,802
2038,Electronics,Mid-Range,11253,2527,757
2039,Clothing,Standard,13407,2443,797
2040,Electronics,High-End,12408,2627,737
2041,Clothing,Standard,11357,2727,817
2042,Electronics,Mid-Range,11403,2427,777
2043,Clothing,Standard,10257,2527,807
2044,Electronics,High-End,14607,2527,767
2045,Clothing,Standard,12303,2627,787
2046,Electronics,Mid-Range,11357,2543,807
2047,Clothing,Standard,10403,2727,737
2048,Electronics,High-End,12602,2527,817
2049,Clothing,Standard,11553,2427,797
2050,Electronics,Mid-Range,11408,2643,757
2051,Clothing,Standard,10458,2527,797
2052,Electronics,High-End,12453,2733,727
2053,Clothing,Standard,11302,2443,807
2054,Electronics,Mid-Range,11457,2327,777
2055,Clothing,Standard,12357,2643,802
2056,Electronics,High-End,10602,2527,762
2057,Clothing,Standard,13403,2427,792
2058,Electronics,Mid-Range,11358,2743,802
2059,Clothing,Standard,10253,2543,737
2060,Electronics,High-End,14657,2327,812
2061,Clothing,Standard,12208,2627,752
2062,Electronics,Mid-Range,11407,2527,792
2063,Clothing,Standard,10357,2743,772
2064,Electronics,High-End,12608,2427,802
2065,Clothing,Standard,11308,2543,782
2066,Electronics,Mid-Range,11453,2327,752
2067,Clothing,Standard,12453,2643,812